RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,MSP,5,Spirit Airlines,160,0,0.0,0,0,0,0,0
OnTime,MSP,5,SkyWest Airlines,1968,0,0.0,0,0,0,0,0
OnTime,MSP,5,United Airlines,256,0,0.0,0,0,0,0,0
OnTime,MSP,5,US Airways,299,0,0.0,0,0,0,0,0
OnTime,MSP,5,Southwest Airlines,548,0,0.0,0,0,0,0,0
OnTime,ORD,5,American Airlines,3678,0,0.0,0,0,0,0,0
OnTime,ORD,5,Alaska Airlines,165,0,0.0,0,0,0,0,0
OnTime,ORD,5,JetBlue Airways,186,0,0.0,0,0,0,0,0
OnTime,ORD,5,Delta Air Lines,595,0,0.0,0,0,0,0,0
OnTime,ORD,5,ExpressJet Airlines,3343,0,0.0,0,0,0,0,0
OnTime,ORD,5,Frontier Airlines,329,0,0.0,0,0,0,0,0
OnTime,ORD,5,Envoy Air,4924,0,0.0,0,0,0,0,0
OnTime,ORD,5,Spirit Airlines,478,0,0.0,0,0,0,0,0
OnTime,ORD,5,SkyWest Airlines,2680,0,0.0,0,0,0,0,0
OnTime,ORD,5,United Airlines,4257,0,0.0,0,0,0,0,0
OnTime,ORD,5,US Airways,453,0,0.0,0,0,0,0,0
OnTime,ORD,5,Virgin America,124,0,0.0,0,0,0,0,0
OnTime,PHX,5,American Airlines,348,0,0.0,0,0,0,0,0
OnTime,PHX,5,Alaska Airlines,204,0,0.0,0,0,0,0,0
OnTime,PHX,5,JetBlue Airways,46,0,0.0,0,0,0,0,0
OnTime,PHX,5,Delta Air Lines,537,0,0.0,0,0,0,0,0
OnTime,PHX,5,Frontier Airlines,117,0,0.0,0,0,0,0,0
OnTime,PHX,5,Hawaiian Airlines,12,0,0.0,0,0,0,0,0
OnTime,PHX,5,Spirit Airlines,37,0,0.0,0,0,0,0,0
OnTime,PHX,5,SkyWest Airlines,1625,0,0.0,0,0,0,0,0
OnTime,PHX,5,United Airlines,433,0,0.0,0,0,0,0,0
OnTime,PHX,5,US Airways,4137,0,0.0,0,0,0,0,0
OnTime,PHX,5,Southwest Airlines,3986,0,0.0,0,0,0,0,0
OnTime,SFO,5,American Airlines,713,0,0.0,0,0,0,0,0
OnTime,SFO,5,Alaska Airlines,370,0,0.0,0,0,0,0,0
OnTime,SFO,5,JetBlue Airways,364,0,0.0,0,0,0,0,0
OnTime,SFO,5,Delta Air Lines,664,0,0.0,0,0,0,0,0
OnTime,SFO,5,Frontier Airlines,124,0,0.0,0,0,0,0,0
OnTime,SFO,5,Hawaiian Airlines,34,0,0.0,0,0,0,0,0
OnTime,SFO,5,SkyWest Airlines,2334,0,0.0,0,0,0,0,0
OnTime,SFO,5,United Airlines,3289,0,0.0,0,0,0,0,0
OnTime,SFO,5,US Airways,409,0,0.0,0,0,0,0,0
OnTime,SFO,5,Virgin America,1106,0,0.0,0,0,0,0,0
OnTime,SFO,5,Southwest Airlines,1006,0,0.0,0,0,0,0,0
Delayed,ATL,5,American Airlines,71,4942.0,0.0,1269.0,688.0,1153.0,0.0,1832.0
Delayed,ATL,5,Alaska Airlines,6,264.0,0.0,64.0,25.0,50.0,0.0,125.0
Delayed,ATL,5,Delta Air Lines,2709,175756.0,0.0,57711.0,32135.0,33695.0,68.0,52147.0
Delayed,ATL,5,ExpressJet Airlines,888,54011.0,0.0,27918.0,0.0,7712.0,0.0,18381.0
Delayed,ATL,5,Frontier Airlines,194,12459.0,0.0,2811.0,0.0,5349.0,0.0,4299.0
Delayed,ATL,5,Envoy Air,32,3222.0,0.0,182.0,861.0,1358.0,15.0,806.0
Delayed,ATL,5,Spirit Airlines,129,9449.0,0.0,2550.0,333.0,3485.0,33.0,3048.0
Delayed,ATL,5,SkyWest Airlines,62,4465.0,0.0,1422.0,72.0,1011.0,0.0,1960.0
Delayed,ATL,5,United Airlines,105,7525.0,0.0,2252.0,415.0,1395.0,0.0,3463.0
Delayed,ATL,5,US Airways,68,4453.0,0.0,944.0,299.0,955.0,0.0,2255.0
Delayed,ATL,5,Southwest Airlines,665,40999.0,0.0,10351.0,2711.0,4828.0,37.0,23072.0
Delayed,DEN,5,American Airlines,100,5120.0,0.0,1444.0,60.0,2083.0,14.0,1519.0
Delayed,DEN,5,Alaska Airlines,15,559.0,0.0,227.0,0.0,173.0,0.0,159.0
Delayed,DEN,5,JetBlue Airways,16,965.0,0.0,30.0,56.0,501.0,0.0,378.0
Delayed,DEN,5,Delta Air Lines,85,4714.0,0.0,1898.0,78.0,1420.0,0.0,1318.0
Delayed,DEN,5,ExpressJet Airlines,120,7612.0,0.0,1914.0,252.0,1657.0,0.0,3789.0
Delayed,DEN,5,Frontier Airlines,412,21885.0,0.0,5131.0,275.0,10016.0,0.0,6463.0
Delayed,DEN,5,Spirit Airlines,149,9135.0,0.0,1511.0,216.0,3317.0,0.0,4091.0
Delayed,DEN,5,SkyWest Airlines,752,37523.0,0.0,14581.0,1979.0,5711.0,2.0,15250.0
Delayed,DEN,5,United Airlines,848,44008.0,0.0,12568.0,1989.0,11327.0,0.0,18124.0
Delayed,DEN,5,US Airways,51,2428.0,0.0,880.0,109.0,825.0,0.0,614.0
Delayed,DEN,5,Southwest Airlines,1018,50833.0,0.0,14503.0,3463.0,7390.0,31.0,25446.0
Delayed,DFW,5,American Airlines,2906,190447.0,0.0,52823.0,37792.0,34220.0,23.0,65589.0
Delayed,DFW,5,Alaska Airlines,24,1140.0,0.0,68.0,124.0,272.0,2.0,674.0
Delayed,DFW,5,JetBlue Airways,22,871.0,0.0,139.0,28.0,149.0,0.0,555.0
Delayed,DFW,5,Delta Air Lines,91,8889.0,0.0,2748.0,1673.0,1506.0,0.0,2962.0
Delayed,DFW,5,ExpressJet Airlines,715,48911.0,0.0,19153.0,0.0,5972.0,0.0,23786.0
Delayed,DFW,5,Frontier Airlines,46,3033.0,0.0,100.0,61.0,1542.0,0.0,1330.0
Delayed,DFW,5,Envoy Air,1231,72239.0,0.0,17275.0,22616.0,12031.0,495.0,19822.0
Delayed,DFW,5,Spirit Airlines,368,25886.0,0.0,4709.0,3533.0,10331.0,31.0,7282.0
Delayed,DFW,5,SkyWest Airlines,137,10478.0,0.0,2461.0,533.0,3014.0,0.0,4470.0
Delayed,DFW,5,United Airlines,104,9042.0,0.0,1912.0,813.0,2074.0,0.0,4243.0
Delayed,DFW,5,US Airways,87,5029.0,0.0,802.0,1315.0,1308.0,0.0,1604.0
Delayed,IAH,5,American Airlines,91,8511.0,0.0,1862.0,1141.0,1478.0,0.0,4030.0
Delayed,IAH,5,Alaska Airlines,7,340.0,0.0,0.0,120.0,81.0,0.0,139.0
Delayed,IAH,5,Delta Air Lines,62,5397.0,0.0,2180.0,232.0,1333.0,0.0,1652.0
Delayed,IAH,5,ExpressJet Airlines,1455,89874.0,0.0,20581.0,6981.0,27546.0,0.0,34766.0
Delayed,IAH,5,Frontier Airlines,48,2816.0,0.0,318.0,37.0,1453.0,0.0,1008.0
Delayed,IAH,5,Spirit Airlines,289,22293.0,0.0,5981.0,1051.0,8534.0,97.0,6630.0
Delayed,IAH,5,SkyWest Airlines,550,34471.0,0.0,10028.0,2692.0,7484.0,142.0,14125.0
Delayed,IAH,5,United Airlines,1746,114878.0,0.0,33830.0,12492.0,26826.0,0.0,41730.0
Delayed,IAH,5,US Airways,97,5661.0,0.0,1555.0,95.0,1865.0,0.0,2146.0
Delayed,LAS,5,American Airlines,145,9761.0,0.0,4307.0,156.0,2463.0,35.0,2800.0
Delayed,LAS,5,Alaska Airlines,33,1210.0,0.0,339.0,21.0,506.0,0.0,344.0
Delayed,LAS,5,JetBlue Airways,84,5303.0,0.0,853.0,226.0,2030.0,0.0,2194.0
Delayed,LAS,5,Delta Air Lines,132,8681.0,0.0,4053.0,85.0,2483.0,0.0,2060.0
Delayed,LAS,5,Frontier Airlines,152,10155.0,0.0,2901.0,56.0,3858.0,0.0,3340.0
Delayed,LAS,5,Hawaiian Airlines,20,685.0,0.0,586.0,16.0,0.0,0.0,83.0
Delayed,LAS,5,Spirit Airlines,326,21395.0,0.0,4642.0,237.0,6750.0,17.0,9749.0
Delayed,LAS,5,SkyWest Airlines,48,2625.0,0.0,640.0,196.0,586.0,0.0,1203.0
Delayed,LAS,5,United Airlines,249,15356.0,0.0,3389.0,75.0,5141.0,0.0,6751.0
Delayed,LAS,5,US Airways,79,3358.0,0.0,1388.0,49.0,1767.0,40.0,114.0
Delayed,LAS,5,Virgin America,111,5145.0,0.0,564.0,68.0,3058.0,0.0,1455.0
Delayed,LAS,5,Southwest Airlines,1651,74827.0,0.0,28263.0,1489.0,10989.0,0.0,34086.0
Delayed,LAX,5,American Airlines,475,27267.0,0.0,9598.0,154.0,7970.0,12.0,9533.0
Delayed,LAX,5,Alaska Airlines,41,1401.0,0.0,504.0,11.0,386.0,16.0,484.0
Delayed,LAX,5,JetBlue Airways,59,4125.0,0.0,854.0,279.0,2042.0,0.0,950.0
Delayed,LAX,5,Delta Air Lines,317,19134.0,0.0,11701.0,45.0,2586.0,41.0,4761.0
Delayed,LAX,5,Frontier Airlines,37,2307.0,0.0,1389.0,0.0,617.0,0.0,301.0
Delayed,LAX,5,Hawaiian Airlines,46,1797.0,0.0,1750.0,6.0,12.0,0.0,29.0
Delayed,LAX,5,Spirit Airlines,156,12111.0,0.0,2137.0,0.0,4609.0,41.0,5324.0
Delayed,LAX,5,SkyWest Airlines,577,27439.0,0.0,10061.0,143.0,3417.0,173.0,13645.0
Delayed,LAX,5,United Airlines,472,26650.0,0.0,9055.0,0.0,6173.0,0.0,11422.0
Delayed,LAX,5,US Airways,73,2938.0,0.0,1184.0,0.0,1054.0,0.0,700.0
Delayed,LAX,5,Virgin America,219,11645.0,0.0,1934.0,520.0,6848.0,0.0,2343.0
Delayed,LAX,5,Southwest Airlines,974,46069.0,0.0,12184.0,606.0,5671.0,27.0,27581.0
Delayed,MSP,5,American Airlines,64,3353.0,0.0,908.0,134.0,1072.0,0.0,1239.0
Delayed,MSP,5,Alaska Airlines,10,249.0,0.0,135.0,0.0,114.0,0.0,0.0
Delayed,MSP,5,Delta Air Lines,590,30593.0,0.0,12203.0,1030.0,10966.0,0.0,6394.0
Delayed,MSP,5,ExpressJet Airlines,164,10625.0,0.0,4139.0,49.0,1576.0,0.0,4861.0
Delayed,MSP,5,Frontier Airlines,59,3892.0,0.0,1218.0,0.0,1651.0,0.0,1023.0
Delayed,MSP,5,Envoy Air,8,453.0,0.0,28.0,0.0,119.0,0.0,306.0
Delayed,MSP,5,Spirit Airlines,136,10619.0,0.0,1472.0,21.0,3933.0,0.0,5193.0
Delayed,MSP,5,SkyWest Airlines,224,11259.0,0.0,4440.0,601.0,2038.0,0.0,4180.0
Delayed,MSP,5,United Airlines,89,5369.0,0.0,1132.0,210.0,1591.0,0.0,2436.0
Delayed,MSP,5,US Airways,46,2600.0,0.0,708.0,15.0,1077.0,0.0,800.0
Delayed,MSP,5,Southwest Airlines,71,4028.0,0.0,1244.0,349.0,529.0,0.0,1906.0
Delayed,ORD,5,American Airlines,782,49483.0,0.0,16715.0,1787.0,12012.0,48.0,18921.0
Delayed,ORD,5,Alaska Airlines,14,504.0,0.0,180.0,12.0,34.0,0.0,278.0
Delayed,ORD,5,JetBlue Airways,50,2912.0,0.0,348.0,174.0,1444.0,0.0,946.0
Delayed,ORD,5,Delta Air Lines,106,7217.0,0.0,1969.0,390.0,1924.0,0.0,2934.0
Delayed,ORD,5,ExpressJet Airlines,687,35036.0,0.0,11620.0,2837.0,9600.0,0.0,10979.0
Delayed,ORD,5,Frontier Airlines,166,11197.0,0.0,2555.0,0.0,5528.0,0.0,3114.0
Delayed,ORD,5,Envoy Air,749,38537.0,0.0,12502.0,5087.0,5277.0,50.0,15621.0
Delayed,ORD,5,Spirit Airlines,509,36015.0,0.0,12071.0,881.0,10808.0,197.0,12058.0
Delayed,ORD,5,SkyWest Airlines,662,31353.0,0.0,14114.0,1482.0,5474.0,3.0,10280.0
Delayed,ORD,5,United Airlines,1461,90054.0,0.0,29417.0,3797.0,20629.0,0.0,36211.0
Delayed,ORD,5,US Airways,65,3718.0,0.0,452.0,177.0,1577.0,0.0,1512.0
Delayed,ORD,5,Virgin America,25,1208.0,0.0,111.0,59.0,933.0,26.0,79.0
Delayed,PHX,5,American Airlines,46,5530.0,0.0,791.0,375.0,1716.0,0.0,2648.0
Delayed,PHX,5,Alaska Airlines,13,412.0,0.0,72.0,0.0,85.0,0.0,255.0
Delayed,PHX,5,JetBlue Airways,16,1007.0,0.0,96.0,42.0,95.0,0.0,774.0
Delayed,PHX,5,Delta Air Lines,64,4785.0,0.0,2080.0,377.0,678.0,26.0,1624.0
Delayed,PHX,5,Frontier Airlines,38,2042.0,0.0,265.0,0.0,1138.0,0.0,639.0
Delayed,PHX,5,Hawaiian Airlines,19,634.0,0.0,487.0,124.0,23.0,0.0,0.0
Delayed,PHX,5,Spirit Airlines,21,1401.0,0.0,206.0,104.0,494.0,0.0,597.0
Delayed,PHX,5,SkyWest Airlines,224,11514.0,0.0,5071.0,0.0,1872.0,64.0,4507.0
Delayed,PHX,5,United Airlines,99,5627.0,0.0,1155.0,182.0,1276.0,0.0,3014.0
Delayed,PHX,5,US Airways,678,30001.0,0.0,14192.0,1152.0,9057.0,194.0,5406.0
Delayed,PHX,5,Southwest Airlines,998,48302.0,0.0,17679.0,1299.0,4541.0,103.0,24680.0
Delayed,SFO,5,American Airlines,169,8961.0,0.0,2549.0,41.0,3091.0,0.0,3280.0
Delayed,SFO,5,Alaska Airlines,130,6925.0,0.0,837.0,0.0,378.0,76.0,5634.0
Delayed,SFO,5,JetBlue Airways,89,5969.0,0.0,1517.0,112.0,1592.0,0.0,2748.0
Delayed,SFO,5,Delta Air Lines,100,5047.0,0.0,1865.0,0.0,1479.0,0.0,1703.0
Delayed,SFO,5,Frontier Airlines,58,2855.0,0.0,517.0,0.0,1356.0,0.0,982.0
Delayed,SFO,5,Hawaiian Airlines,27,1198.0,0.0,1189.0,9.0,0.0,0.0,0.0
Delayed,SFO,5,SkyWest Airlines,696,38769.0,0.0,12391.0,143.0,2311.0,0.0,23924.0
Delayed,SFO,5,United Airlines,993,55840.0,0.0,21030.0,215.0,9184.0,0.0,25411.0
Delayed,SFO,5,US Airways,70,2394.0,0.0,916.0,0.0,817.0,0.0,661.0
Delayed,SFO,5,Virgin America,326,14397.0,0.0,1970.0,746.0,2604.0,58.0,9019.0
Delayed,SFO,5,Southwest Airlines,293,14923.0,0.0,2712.0,172.0,1387.0,0.0,10652.0
